emotion,language,comment
anxious,bangla,হার্টের ধড়ফড়ানি বন্ধ হচ্ছে না
happy,english,So proud of myself
angry,bangla,বাঁধ ভেঙে গেছে
anxious,english,I'm panicking inside
surprised,english,What a revelation!
sad,bangla,কষ্টে জর্জরিত
anxious,bangla,কিছু একটা খারাপ হবে মনে হচ্ছে
neutral,bangla,ঘুম থেকে উঠলাম সকালে
surprised,bangla,কি বলছ! এটা সত্যি?
neutral,english,Going to work now
sad,english,So disappointed
anxious,bangla,ভুল হয়ে গেলে কি হবে?
sad,bangla,কষ্টে আছি খুব
love,english,So in love with this person
happy,english,Happiness is all around me
anxious,english,I need to breathe
sad,english,This world is cruel
angry,bangla,বাঁধ ভেঙে গেছে
angry,bangla,এটা আমি ভুলব না
neutral,bangla,বৃষ্টি হচ্ছে আজকে
surprised,bangla,আমি স্তব্ধ!
happy,english,So much to celebrate!
anxious,english,So much pressure on me
happy,bangla,দারুণ এক অনুভূতি
love,english,Love you to the moon and back
love,english,You are my soulmate
happy,english,Delighted with the result
sad,english,I feel broken
love,bangla,তোমাকে পাওয়া আমার সৌভাগ্য
anxious,bangla,চিন্তায় ডুবে আছি
surprised,bangla,অবিশ্বাস্য!
love,english,This is what love feels like
happy,english,Feeling great and blessed!
anxious,english,This uncertainty is killing me
angry,bangla,আমার রাগ এখন বাস্তব
neutral,bangla,ইনবক্স চেক করলাম
sad,bangla,কেউ আমাকে ভালোবাসে না
surprised,bangla,এটা তো স্বপ্নের মতো
surprised,bangla,আমি বাকরুদ্ধ!
love,english,I fall in love with you every day
angry,bangla,বিশ্বাসঘাতকতা!
neutral,english,Going for a walk later
love,english,Love you to the moon and back
neutral,english,Going to work now
neutral,english,Need to go grocery shopping
sad,bangla,সব শেষ হয়ে গেছে
surprised,english,Did that really just happen?
happy,bangla,কি সুন্দর একটা দিন!
sad,english,I give up
anxious,english,What if I fail?
neutral,bangla,বই পড়ছি এখন
sad,bangla,আমি কারো কাজে লাগি না
love,english,I love you so much!
angry,bangla,তোমার অহংকার নিচে নামাব
love,english,You complete me
angry,bangla,আগুন জ্বলছে ভিতরে
surprised,english,Holy cow! That's amazing!
happy,english,Feeling great and blessed!
angry,english,Some people are just terrible
love,bangla,তোমার সাথে সময় কাটালে ভালো লাগে
sad,bangla,আমি খুব একা
love,english,You are amazing
neutral,bangla,ছবি দেখলাম ফেসবুকে
surprised,english,I am shocked and amazed
happy,bangla,সুখে আছি
love,english,Love is beautiful
love,bangla,তুমি আমার স্বপ্নের মানুষ
anxious,english,Worst feeling ever
neutral,bangla,মোবাইল চার্জ দিচ্ছি
surprised,english,I am in shock
neutral,english,It's a regular weekday
happy,bangla,এটা আমার জন্য গর্বের
love,bangla,তোমার স্পর্শে স্বর্গ
sad,english,No one understands me
neutral,bangla,বই পড়ছি এখন
surprised,english,Never in a million years
angry,bangla,এটা অন্যায়!
love,english,I fall in love with you every day
neutral,bangla,সোশ্যাল মিডিয়া দেখছি
anxious,bangla,ভুল হয়ে গেলে কি হবে?
anxious,english,When will this be over
sad,bangla,কিছুই ভালো লাগছে না
happy,bangla,দারুণ এক অনুভূতি
angry,english,I'm about to lose my mind
love,english,You make my life complete
neutral,bangla,সন্ধ্যায় হাঁটতে যাব
neutral,english,Time to sleep now
neutral,english,Watching a movie tonight
surprised,bangla,বাহ! এটা তো দারুণ!
sad,english,Why me?
surprised,bangla,সত্যি! আমি বিশ্বাস করতে পারছি না!
love,bangla,তুমি আসলেই স্পেশাল
happy,english,I feel amazing
angry,bangla,আগুন জ্বলছে ভিতরে
anxious,english,I can't calm down
love,bangla,তোমার সাথে সময় কাটালে ভালো লাগে
love,english,Thank you for being you
love,bangla,তুমি সেরা
angry,bangla,তোমার লজ্জা করে না?
sad,english,Nothing is going right
sad,english,Feeling really down
love,english,Thank you for being you
surprised,english,OMG! That's crazy!
angry,bangla,সব মিথ্যা কথা!
happy,bangla,আজকের দিনটা স্পেশাল
love,bangla,তোমায় নিয়ে গর্বিত
sad,english,Everything reminds me of you
anxious,english,Everything feels out of control
neutral,bangla,সন্ধ্যায় হাঁটতে যাব
surprised,english,Wow I did not see that coming!
sad,bangla,আমি খুব হতাশ
love,english,You are my sunshine
happy,english,Such a pleasant surprise
love,bangla,তোমায় নিয়ে গর্বিত
happy,bangla,আমার লক্ষ্য পূরণ হয়েছে
anxious,english,I can't handle this
angry,english,I've had enough!
sad,bangla,একা একা খুব কষ্ট হচ্ছে
surprised,bangla,বাহ! এটা তো দারুণ!
neutral,english,Had a usual day at office
anxious,bangla,চাপে আছি ভীষণ
love,bangla,তোমার জন্য আমার জীবন উৎসর্গ
sad,bangla,আমার কিছুই নেই
surprised,bangla,আমি তো ভাবতেই পারিনি
angry,english,How dare they do this
love,english,You make my heart smile
love,english,Love is beautiful
sad,bangla,একা একা খুব কষ্ট হচ্ছে
angry,bangla,সাবধান করছি!
neutral,bangla,আজ রান্না করেছি
surprised,english,Are you serious?
sad,bangla,কষ্টে জর্জরিত
neutral,bangla,ল্যাপটপ চালু করলাম
love,english,My heart beats for you
sad,bangla,কষ্টে আছি খুব
neutral,english,I need to buy groceries
angry,english,Total disaster
angry,english,Some people are just terrible
anxious,bangla,ঘুমাতে পারছি না চিন্তায়
anxious,bangla,চিন্তায় ডুবে আছি
anxious,bangla,দিশেহারা হয়ে যাচ্ছি
sad,english,Life feels so heavy
angry,bangla,এটা আমি মেনে নিতে পারব না!
happy,bangla,জীবনে এত আনন্দ আর কি চাই
happy,bangla,এটা আমার জন্য গর্বের
